
央视频道,#genre#
CCTV1综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$LR•IPV6•12『线路1』
CCTV1综合,http://a21709.tv.netsite.cc/proxy/1387573383/1387573383.m3u8$LR•IPV4•12『线路2』
CCTV1综合,http://a21709.tv.netsite.cc/proxy/1464748337/1464748337.m3u8$LR•IPV4•12『线路3』
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$LR•IPV4•12『线路4』
CCTV1综合,http://8.138.7.223/tv/dl/douyincdn.php?id=1$LR•IPV4•12『线路5』
CCTV1综合,http://8.138.7.223/tv/dl/careryun.php?id=1$LR•IPV4•12『线路6』
CCTV1综合,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/index.m3u8$LR•IPV6•12『线路7』
CCTV1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4•12『线路8』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•12『线路9』
CCTV1综合,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8$LR•IPV4•12『线路10』
CCTV1综合,http://play.kankanlive.com/live/1661761962676984.m3u8$LR•IPV4•12『线路11』
CCTV1综合,http://112.123.206.32:808/hls/1/index.m3u8$LR•IPV4•12『线路12』
CCTV2财经,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$LR•IPV6•13『线路1』
CCTV2财经,http://a21709.tv.netsite.cc/proxy/1865857764/1865857764.m3u8$LR•IPV4•13『线路2』
CCTV2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$LR•IPV4•13『线路3』
CCTV2财经,http://8.138.7.223/tv/dl/douyincdn.php?id=2$LR•IPV4•13『线路4』
CCTV2财经,http://8.138.7.223/tv/dl/careryun.php?id=2$LR•IPV4•13『线路5』
CCTV2财经,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225923/index.m3u8$LR•IPV4•13『线路6』
CCTV2财经,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$LR•IPV4•13『线路7』
CCTV2财经,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?$LR•IPV6•13『线路8』
CCTV2财经,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$LR•IPV4•13『线路9』
CCTV2财经,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$LR•IPV4•13『线路10』
CCTV2财经,http://36.105.100.208:35455/gaoma/cctv2.m3u8$LR•IPV4•13『线路11』
CCTV2财经,http://1b6467f415.iok.la:9931/tsfile/live/1021_1.m3u8$LR•IPV4•13『线路12』
CCTV2财经,http://112.123.206.32:808/hls/2/index.m3u8$LR•IPV4•13『线路13』
CCTV3综艺,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8$LR•IPV6•13『线路1』
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$LR•IPV4•13『线路2』
CCTV3综艺,http://8.138.7.223/tv/dl/douyincdn.php?id=3$LR•IPV4•13『线路3』
CCTV3综艺,http://8.138.7.223/tv/dl/careryun.php?id=3$LR•IPV4•13『线路4』
CCTV3综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4•13『线路5』
CCTV3综艺,https://migu.188766.xyz/?migutoken=3f5ecedb6a9d946fbb8762dea69f2d73&id=CCTV3&pp=1$LR•IPV4•13『线路6』
CCTV3综艺,http://58.17.48.228:808/hls/3/index.m3u8$LR•IPV4•13『线路7』
CCTV3综艺,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$LR•IPV6•13『线路8』
CCTV3综艺,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$LR•IPV4•13『线路9』
CCTV3综艺,http://36.105.100.208:35455/gaoma/cctv3.m3u8$LR•IPV4•13『线路10』
CCTV3综艺,http://58.17.48.228:808/hls/3/index.m3u8$LR•IPV4•13『线路11』
CCTV3综艺,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4•13『线路12』
